title,price,area,location,status
3 BHK Apartment in Regency Cosmos,"40,000",1550,"Baner, Pune",Furnished
2 BHK Apartment in Reputed Builder Atmosphere,"14,000",920,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in JRS Atmosphere C Wing,"25,000",1430,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment in Reputed Builder Atmosphere,"16,000",945,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment,"14,500",855,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment,"14,000",850,"Ambegaon Budruk, Pune",Unfurnished
3 BHK Apartment in Paranjape Abhiruchi Parisar T1 T2 T3 M1A M1B And M2,"20,000",1300,"Dhayari, Pune",Unfurnished
1 BHK Apartment in Reputed Builder Ram Nagari,"11,000",670,"Ambegaon Budruk, Pune",Unfurnished
4 BHK Independent House,"30,000",1800,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in JRS Atmosphere C Wing,"21,000",1400,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in Paranjape Abhiruchi Parisar T1 T2 T3 M1A M1B And M2,"22,000",1350,"Dhayari, Pune",Unfurnished
3 BHK Apartment in Magarpatta Trillium,"42,000",1470,"Hadapsar, Pune",Unfurnished
3 BHK Apartment in Magarpatta Sylvania,"40,000",1650,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Magarpatta Sylvania,"33,000",1200,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Sylvania,"33,000",1200,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Kumar Picasso,"36,000",1200,"Hadapsar, Pune",Unfurnished
5 BHK Apartment in Kasturi Legacy,1.5 L,2200,"Baner, Pune",Furnished
3 BHK Apartment in Blue 27th Avenue,"27,000",1390,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Paranjape Gloria Grace,"20,000",1050,"Bavdhan, Pune",Unfurnished
3 BHK Apartment in Kolte Patil Stargaze,"27,000",1500,"Bavdhan, Pune",Semi-Furnished
3 BHK Apartment in Abhinav Pebbles II,"28,000",1450,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Abhinav Pebbles II,"23,500",1140,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Karan Suncoast,"23,000",1056,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Pristine Fontana,"23,000",1065,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Abhinav Pebbles II,"24,000",1120,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Abhinav Pebbles II,"23,000",1120,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Prime Utsav Homes 3 Phase 1,"24,000",1150,"Bavdhan, Pune",Semi-Furnished
3 BHK Apartment in Goel Ganga Legend A4 And B1,"28,500",1600,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Rohan Madhuban II,"20,000",1050,"Bavdhan, Pune",Unfurnished
3 BHK Apartment in Abhinav Pebbles II,"29,000",1545,"Bavdhan, Pune",Semi-Furnished
3 BHK Apartment in Nyati Equatorial,"29,000",1545,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Goel Ganga Legend A4 And B1,"23,500",850,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Lohia Megh Malhar Raga,"25,000",1050,"Bavdhan, Pune",Unfurnished
3 BHK Apartment in Magarpatta Trillium,"40,000",1470,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Future Towers,"22,000",550,"Hadapsar, Pune",Furnished
2 BHK Apartment in Magarpatta Trillium,"34,000",1000,"Hadapsar, Pune",Furnished
3 BHK Apartment,"45,000",1450,"Hadapsar, Pune",Semi-Furnished
1 BHK Apartment in Amanora Trendy Homes,"26,000",650,"Hadapsar, Pune",Semi-Furnished
1 BHK Apartment in Amanora Adreno Towers,"25,000",580,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"20,000",1255,"Wagholi, Pune",Semi-Furnished
1 BHK Apartment in Amanora Park Town,"25,000",462,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Adreno Towers,"30,000",975,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in Amanora Trendy Homes,"27,000",650,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Trendy Homes,"35,000",1000,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Trendy Homes,"30,000",1000,"Hadapsar, Pune",Semi-Furnished
1 BHK Apartment in Amanora Future Towers,"30,000",600,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Daffodils Apartment,"35,000",1100,"Hadapsar, Pune",Furnished
4 BHK Apartment in Marvel Ritz,"75,000",2200,"Hadapsar, Pune",Furnished
2 BHK Apartment in Magarpatta Nova,"23,000",1000,"Mundhwa, Pune",Unfurnished
1 BHK Apartment in Reputed Builder Amanora Victory Towers,"23,000",1200,"Mundhwa, Pune",Furnished
2 BHK Apartment in Reputed Builder Amanora Victory Towers,"35,000",1000,"Mundhwa, Pune",Furnished
3 BHK Apartment in Reputed Builder Amanora Victory Towers,"42,000",1700,"Mundhwa, Pune",Furnished
3 BHK Apartment in Amanora Future Towers,"50,000",1800,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Gateway Towers,"45,000",1200,"Hadapsar, Pune",Unfurnished
1 BHK Apartment in DSK Sundarban,"23,000",530,"Hadapsar, Pune",Furnished
3 BHK Apartment in Magarpatta Cosmos,"55,000",1600,"Hadapsar, Pune",Furnished
4 BHK Apartment in Amanora Future Towers,"45,000",1800,"Hadapsar, Pune",Semi-Furnished
3 BHK Apartment,"45,000",1550,"Magarpatta, Pune",Furnished
2 BHK Apartment in Blue 27th Avenue,"21,000",1000,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Dreams Belle Vue,"22,000",1080,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Puraniks Abitante Phase 1A,"22,000",1120,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Goel Ganga Legend B2,"25,000",1150,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Blue 27th Avenue,"20,000",1050,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Bramha Nancy Brahma Residency,"27,000",1250,"Bavdhan, Pune",Semi-Furnished
3 BHK Apartment in Rainbow Pebbles,"30,000",1570,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Windmill Village,"27,000",1200,"Bavdhan, Pune",Furnished
